"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1",0,2,1,3,1,2,2,1,1,1,1,1,1,3,1,1,1,3,1,3,2,1,3,2,1,3,1,2,2,2,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,3,3,1,2,2,1,2,2,1,2,1,1,1,1,2,3,1
"2",2,0,1,1,2,2,1,2,4,1,1,1,1,4,1,2,1,1,4,2,1,2,3,1,1,2,1,3,1,1,2,1,2,3,2,4,5,1,2,4,1,1,1,1,1,3,1,1,2,1,2,1,2,2,1,4,2,3,2,2,1,2,1,1,3,1,1,4,2,2
"3",1,1,0,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,2,1,1,5,2,3,1,2,1,3,1,1,3,2,1,1,1,2,1,2,3,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
"4",2,3,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
"5",1,1,1,1,0,2,1,1,1,2,1,1,1,2,2,4,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,4,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,4,2,2,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2
"6",1,1,1,2,1,0,1,1,1,2,1,1,1,3,1,2,1,1,1,5,2,1,2,2,2,3,1,1,1,2,1,1,1,5,1,3,2,2,1,2,2,3,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,3,1
"7",2,1,1,1,2,2,0,1,1,1,1,1,1,3,1,1,1,1,1,2,3,2,1,1,2,2,1,2,2,1,2,1,1,4,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,5,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1
"8",1,2,1,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,3,1,4,1,3,4,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1
"9",1,4,1,1,2,3,1,2,0,1,1,1,1,3,2,2,1,1,2,4,3,1,3,1,1,3,1,3,1,2,1,2,1,3,2,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,1,1,2,3,1,2,1,2,1,1,2,1,1,2,2,2
"10",4,2,1,3,1,4,4,3,4,0,1,1,2,5,3,3,3,2,3,5,4,3,4,1,3,4,1,4,3,2,2,2,1,5,3,4,2,2,2,4,2,3,3,2,2,4,2,1,2,5,4,2,3,4,1,2,1,2,1,5,2,2,1,1,5,2,2,2,3,1
"11",1,2,1,3,1,2,1,1,1,1,0,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,3,2,1,3,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1
"12",3,1,1,2,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,3,2,3,1,1,1,2,1,1,3,1,1,1,1,2,1,3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,3,1
"13",2,1,2,1,1,2,1,1,1,1,1,1,0,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1
"14",1,1,1,1,2,3,1,1,1,1,1,1,1,0,1,3,2,2,1,4,1,1,2,1,3,5,1,1,2,2,1,2,1,5,2,3,3,3,1,5,1,1,1,1,1,2,1,1,1,3,3,1,1,3,2,1,1,2,1,1,1,4,1,1,1,2,1,1,2,1
"15",3,4,2,3,2,3,5,1,3,1,2,1,2,4,0,3,2,2,3,4,2,2,4,2,4,5,1,4,1,4,1,4,2,5,4,4,4,1,2,5,3,1,2,3,2,1,1,1,1,4,2,2,1,2,1,1,2,4,2,3,3,2,2,2,2,2,1,4,4,2
"16",2,3,1,5,3,5,3,1,3,3,2,1,3,5,3,0,1,1,1,3,3,1,5,1,2,3,2,3,1,4,4,2,2,5,3,4,4,2,2,5,1,3,3,1,1,3,1,2,2,3,4,3,1,5,1,2,3,3,1,5,2,2,1,2,5,2,1,2,5,4
"17",4,5,4,3,3,4,1,5,5,4,5,2,4,5,4,5,0,4,4,4,4,3,4,4,4,4,3,3,2,4,5,5,4,5,5,5,5,3,2,5,3,3,3,4,3,3,1,2,5,4,4,3,2,4,2,3,4,5,2,5,4,5,3,3,4,4,2,5,5,3
"18",1,2,2,2,1,2,2,1,2,1,1,1,1,3,1,1,2,0,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,3,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,3,1,2,2,1
"19",3,3,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,0,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
"20",2,1,1,4,1,4,2,1,3,1,1,1,1,4,2,1,2,1,1,0,2,2,4,1,3,4,1,2,3,3,1,1,1,4,1,4,1,2,1,3,2,1,1,1,1,2,1,1,1,3,2,1,1,4,1,2,1,1,1,2,2,1,1,1,3,2,1,1,2,1
"21",1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,4,0,1,2,1,1,3,1,2,2,2,2,1,1,4,1,3,2,2,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1
"22",1,3,1,4,1,2,1,1,1,2,2,1,2,2,1,2,2,3,4,5,4,0,3,2,1,3,1,4,2,2,2,2,1,5,2,2,4,1,3,3,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,4,2,3,1,4,1,3,3,1,1,1,2,2,2,2
"23",3,3,3,3,2,4,4,3,2,3,1,1,3,5,5,4,2,1,2,5,3,3,0,2,3,5,1,3,2,4,3,2,2,5,4,5,5,5,1,5,2,2,3,3,1,3,3,1,2,4,2,1,2,5,3,2,3,5,1,3,2,3,3,3,4,3,1,3,4,2
"24",4,3,1,4,3,3,1,1,3,2,1,1,1,3,1,2,1,1,3,4,2,2,3,0,2,3,1,3,1,2,2,1,1,3,2,4,1,1,1,3,1,2,1,1,2,4,3,1,1,3,1,1,1,3,1,1,3,3,2,3,1,3,1,1,1,2,1,4,3,1
"25",3,2,1,3,4,5,1,1,3,2,1,2,4,5,3,3,2,2,2,4,3,2,5,2,0,5,1,1,3,4,3,1,3,4,4,5,3,3,1,3,1,3,3,2,2,5,2,1,1,5,4,2,1,3,3,2,3,3,1,3,1,4,1,2,4,2,2,2,5,2
"26",1,2,1,1,2,2,1,1,1,1,1,1,1,3,2,3,1,1,1,4,1,1,4,1,2,0,2,1,1,2,1,1,2,4,1,4,2,1,1,4,2,2,1,1,1,1,1,2,1,3,1,1,1,3,1,2,3,2,1,2,1,2,1,1,1,1,1,1,2,1
"27",2,3,3,1,1,3,2,1,1,1,2,2,4,3,2,3,2,2,2,3,2,1,3,1,1,4,0,2,1,3,1,1,1,5,3,2,1,1,1,4,1,1,2,2,1,2,1,1,2,3,1,1,1,2,1,1,2,1,1,3,3,1,1,2,1,1,1,2,2,1
"28",2,4,1,1,1,2,1,1,4,1,1,1,1,5,1,1,1,1,1,2,3,1,2,2,1,3,1,0,1,1,1,1,3,3,3,2,3,3,1,2,2,1,1,1,1,3,1,1,3,1,1,2,2,5,1,1,1,4,1,4,1,3,1,2,1,2,1,1,1,3
"29",1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,2,1,1,0,1,1,1,1,4,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,4,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,0,1,1,1,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1
"31",1,3,1,1,1,3,1,1,1,1,1,1,1,4,2,2,3,2,4,2,2,1,3,1,1,4,1,2,1,1,0,1,2,4,4,4,3,1,1,3,2,2,1,1,1,2,1,1,2,2,2,1,1,2,1,2,3,2,1,2,2,1,2,1,1,1,2,3,3,1
"32",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,0,2,4,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,1,1
"33",1,5,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,3,2,2,1,3,2,3,3,1,3,1,2,2,3,0,5,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,2,1,1,2,1,1,3,1,1,1,1,1,3,3,1
