"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0,4,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1
"2",1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2
"3",1,2,0,1,3,2,4,1,2,1,1,1,1,1,1,2,1,1,1,1,3,2,1,4,1,2,3,1,1,1
"4",1,1,2,0,3,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1
"5",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3
"6",2,1,1,1,2,0,2,2,2,3,1,1,1,1,1,1,1,1,1,1,4,4,2,3,1,1,1,1,4,3
"7",2,1,3,2,4,1,0,2,2,1,1,1,1,2,1,2,1,1,2,2,2,4,2,5,1,1,1,1,2,1
"8",1,1,1,2,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1
"9",1,1,2,1,4,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2
"10",1,1,2,1,2,1,1,1,3,0,1,1,2,1,1,1,1,1,1,2,1,2,3,3,1,1,1,1,1,1
"11",1,1,1,2,1,3,1,1,1,1,0,1,1,1,2,1,2,1,3,1,1,1,1,3,1,2,1,1,1,2
"12",1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,1,1,1,2,2,1,1,2,4,1,1,1,1,1,1
"13",1,1,1,1,3,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"14",1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"15",1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,3,1,1,2,1,2,1,1,4,1,1,1,1,1,1
"16",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",1,1,2,1,5,1,2,1,1,1,1,2,1,1,1,1,1,0,1,1,2,2,2,4,1,1,1,1,3,1
"19",1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"20",2,1,2,1,4,2,1,1,3,1,2,1,1,2,1,1,2,2,2,0,3,3,1,3,1,2,1,2,3,1
"21",1,1,2,1,4,2,4,2,1,2,2,1,1,1,1,1,1,1,1,1,0,2,1,4,1,1,1,1,1,2
"22",2,3,1,1,3,1,2,1,2,3,1,1,1,2,1,1,1,1,1,2,2,0,1,3,1,1,2,1,3,1
"23",1,1,3,1,4,2,4,1,2,1,1,1,1,1,3,1,1,1,1,1,2,2,0,5,1,1,1,1,2,1
"24",1,1,3,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,2,2,2,0,1,1,1,1,1,2
"25",1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,1
"26",4,3,3,3,5,1,5,1,4,1,4,4,3,1,3,4,2,1,3,4,3,4,4,5,3,0,1,3,3,4
"27",1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,0,1,2,1
"28",1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,3,1,0,2,1
"29",1,1,1,1,3,2,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,2,1,3,1,1,1,1,0,4
"30",1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0
